Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Test1:E1,,,Test1:M1,,,Test1:I1,,,Test1:E2,,,Test1:M2,,,Test1:I2,,,Test1:E3,,,Test1:M3,,,Test1:I3,,,Test1:E4,,,Test1:M4,,,Test1:I4,,,Test1:E5,,,Test1:M5,,,Test1:I5,,,Test1:E6,,,Test1:M6,,,Test1:I6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
14,0,412.251373,13.300732,180.558716,404.073151,280.368866,208.231659,423.890198,396.069153,216.681,438.806671,37.713268,29.143787,422.24115,273.55069,23.233683,445.490875,412.951599,21.313675,285.99353,13.065074,70.018463,241.303116,282.845764,102.091606,254.924988,428.419922,101.492043,477.212433,935.149658,73.729652,515.572266,700.032776,112.237175,510.240784,517.157532,108.587082,325.451416,918.428284,28.149134,345.244507,696.94165,42.298534,341.305756,542.880981,21.518755,341.866913,966.243042,171.288254,362.497925,653.49292,228.155212,342.315613,551.776367,211.315948
15,0,411.383392,14.44258,181.767624,403.672974,280.358795,208.16394,423.409515,395.810974,216.756683,438.650269,37.861816,30.396257,422.241333,273.529266,23.242233,445.289337,413.003479,21.33157,285.702728,13.932606,70.467621,241.147614,283.25412,101.661316,253.275482,428.597961,102.203064,477.061157,934.984802,73.936882,515.044983,699.706848,112.173302,509.210052,516.785706,108.272667,325.372925,918.448181,28.204683,344.13681,695.849731,41.71553,340.585693,542.729004,21.487192,341.653778,966.065857,171.354553,362.127441,653.299438,228.327881,341.632416,551.604431,211.281097
16,0,410.16452,15.640475,182.693771,403.36026,280.451172,208.084259,422.972626,395.353058,216.869049,438.385315,38.08881,30.929892,422.257019,273.551514,23.268997,444.979248,413.150238,21.05443,285.229553,14.669593,70.808571,241.061508,283.623566,101.354591,252.772064,427.893402,101.892387,476.881531,934.929993,73.882492,514.652588,699.561157,112.212776,507.896729,516.708984,107.611206,325.367462,918.437317,28.191898,343.903473,695.934265,41.785,340.026581,542.564941,21.365524,341.520416,966.044739,171.363083,361.538177,653.320557,228.155136,341.140808,551.547974,211.315338
17,0,409.521088,16.46559,183.59465,402.950409,280.306732,207.993256,422.538666,394.81601,217.090591,438.298157,38.155811,31.891701,422.233826,273.525452,23.26292,444.632019,413.218292,20.849392,284.71933,15.502681,71.096794,240.893448,284.001526,100.985634,252.506821,426.738678,101.423264,476.921234,934.753052,73.791252,514.439636,699.299744,112.186798,507.95282,516.40686,108.051689,325.36908,918.473572,28.121801,343.672638,695.832947,41.886398,339.897705,542.724548,21.392597,341.546967,966.025513,171.313095,361.23642,653.223328,228.191025,340.439575,551.527649,211.16893
18,0,408.380707,17.615614,184.683594,402.417938,280.049347,207.743118,422.171906,394.348694,217.229004,438.264069,38.586933,32.918819,422.097382,273.549255,23.415123,444.356873,413.295044,20.653135,284.484589,16.192232,71.30777,240.803894,284.382904,100.631966,251.73822,426.264404,101.554504,477.104218,934.378845,73.926979,514.186646,698.911804,112.119354,507.951965,515.981201,108.462524,325.657166,918.441711,28.155016,343.365753,695.772522,41.971039,339.301025,542.744019,21.378942,341.859863,965.938049,171.366379,360.925812,653.180298,228.270905,339.997375,551.397949,211.220993
19,0,407.822662,19.148766,185.054031,402.475555,280.577301,207.851517,421.586365,394.155457,217.27774,438.419983,40.186081,33.731861,422.098236,273.527466,23.438629,444.131104,413.356506,20.435385,284.320129,17.025066,71.488861,240.420609,284.87854,100.198494,251.03981,425.803894,101.406952,477.182281,934.104553,73.766342,512.206055,699.496033,110.816872,507.575348,515.644836,108.505554,325.881104,918.369751,28.129923,343.458069,696.558044,42.543491,338.759583,542.493225,21.441116,342.108765,965.81073,171.361389,360.560272,653.084167,228.310867,339.447479,551.284912,211.118286
20,0,408.197479,20.686008,185.09198,401.656525,281.22525,207.802597,420.80188,394.107483,217.387772,438.501068,41.800365,33.471531,422.065186,273.57193,23.443512,444.060913,413.377502,20.478788,284.564209,18.341003,71.565125,239.735535,285.480194,99.649475,250.326477,425.535492,101.096481,477.211792,933.862488,73.835518,512.042053,699.165588,110.996895,506.677216,515.488281,108.338211,325.859192,918.371094,28.093281,343.216339,696.459106,42.394733,335.964478,546.721802,25.240807,342.111725,965.75647,171.344833,360.145782,652.984375,228.299271,338.791931,551.340698,211.054688
21,0,408.884705,21.765062,184.756973,401.538208,283.068481,208.782837,420.273468,393.720398,217.589386,438.355652,43.356873,33.056656,422.020752,273.583649,23.452744,443.967041,413.46286,20.565699,284.924957,19.640951,71.386833,239.401093,285.805573,99.506554,249.615768,425.192841,101.047073,477.111053,933.835022,73.910339,512.849609,698.299072,111.963066,506.056122,515.412354,108.313347,325.697754,918.482849,28.129774,338.508179,700.818665,46.447685,335.292816,546.767395,25.31056,341.97522,965.812805,171.401428,359.69574,653.031982,228.317078,338.299744,551.478455,211.149796
22,0,409.539154,22.858847,184.169617,401.781586,282.970795,208.091248,420.200378,393.127747,217.813538,438.605591,45.309601,32.515877,422.083832,273.583954,23.514673,445.354279,413.246521,22.190409,285.205017,20.463415,71.423439,239.323044,286.071075,99.526611,248.247803,422.720154,98.243744,476.988647,933.810059,74.012001,510.851868,698.773621,110.575104,505.635071,515.398376,108.344681,325.476959,918.451599,28.147789,342.359558,696.414917,42.581566,334.353668,546.852844,25.136387,341.779358,965.726013,171.439545,359.276337,653.00293,228.329086,337.822327,551.388245,211.335037
23,0,410.439972,23.727058,183.932526,401.688812,283.755646,208.762741,420.134949,392.545624,217.974426,438.898254,46.817261,32.295944,422.065887,273.582001,23.512184,445.162689,413.172577,22.142021,285.697418,21.099903,71.303162,239.220474,286.585876,99.356155,248.693039,423.619293,101.14827,476.92923,933.528564,74.108818,510.481598,698.570068,110.588394,505.086304,515.100159,108.219559,325.404053,918.346313,28.120043,337.601166,700.604309,46.700111,337.22113,543.108521,21.627445,341.731354,965.565186,171.431885,358.90802,652.924255,228.395691,337.556091,551.174866,211.591064
