Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Test1:E1,,,Test1:M1,,,Test1:I1,,,Test1:E2,,,Test1:M2,,,Test1:I2,,,Test1:E3,,,Test1:M3,,,Test1:I3,,,Test1:E4,,,Test1:M4,,,Test1:I4,,,Test1:E5,,,Test1:M5,,,Test1:I5,,,Test1:E6,,,Test1:M6,,,Test1:I6,,,Test1:M2A,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,415.729858,476.570953,-44.970974,546.991211,262.522247,-58.218719,626.608521,143.505463,-65.772926,470.608398,475.852875,106.722908,544.241394,263.732849,121.711182,621.92688,144.397141,132.888504,323.937103,439.714691,83.624001,410.750732,157.549377,39.995705,468.145386,59.663185,35.643173,727.812134,-356.317352,-85.247246,644.868835,-128.922928,-73.368683,573.643799,-10.90504,-65.829033,744.069031,-366.14093,73.773247,656.931885,-128.66449,113.851952,591.969666,-36.977192,128.114273,867.728516,-317.499451,-27.400188,805.419861,-56.694111,6.304771,732.303345,65.404518,23.114626,,,
2,0,415.804443,476.582764,-44.999046,547.049561,262.527069,-58.208511,626.630859,143.495163,-65.767929,470.613342,475.858704,106.705864,544.258362,263.716766,121.712425,621.962402,144.381805,132.908401,323.981995,439.680206,83.61924,410.773438,157.541931,39.991417,468.607361,59.536633,35.761597,727.840393,-356.312805,-85.24408,644.885803,-128.902512,-73.372246,573.66803,-10.916406,-65.821457,744.069336,-366.140656,73.761574,656.95459,-128.670273,113.853577,591.987,-36.971691,128.110794,867.738342,-316.733765,-27.673336,805.450928,-56.719116,6.315562,732.341248,65.394997,23.125937,,,
3,0,415.74762,476.579468,-44.953213,547.007324,262.527374,-58.208969,626.608032,143.504486,-65.748688,470.572266,475.861603,106.724579,544.249268,263.719604,121.707481,621.948669,144.395111,132.905655,323.965454,439.694214,83.64463,410.748596,157.540466,39.994797,468.149597,59.669174,35.658855,727.829285,-356.324463,-85.263481,644.870117,-128.923157,-73.362778,573.664246,-10.926657,-65.837296,744.062561,-366.140778,73.77935,656.925171,-128.665588,113.854462,591.967957,-36.985527,128.111526,867.760559,-317.547638,-27.379473,805.421814,-56.705765,6.31025,732.323181,65.372528,23.130709,,,
4,0,415.795074,476.601746,-44.973873,547.048035,262.516205,-58.211678,626.615601,143.497574,-65.764557,470.623322,475.860931,106.744316,544.295776,263.720459,121.702339,621.953674,144.374496,132.889114,323.945618,439.691528,83.630577,410.754761,157.547455,39.982178,468.60498,59.541782,35.75959,727.856873,-356.346497,-85.273544,644.903687,-128.919327,-73.390709,573.647278,-10.947204,-65.822044,744.080994,-366.145447,73.749123,656.955933,-128.67218,113.847473,592.002502,-36.991364,128.089508,867.76239,-316.793396,-27.679449,805.471924,-56.7383,6.304031,732.334106,65.386154,23.099298,,,
5,0,415.738708,476.553528,-44.928169,547.039368,262.528992,-58.201542,626.579651,143.507812,-65.774796,470.580292,475.833252,106.700615,544.257507,263.702362,121.707977,621.924866,144.394333,132.895416,323.931641,439.718903,83.627884,410.499878,157.680359,39.886539,468.171021,59.672607,35.664803,727.837585,-356.329346,-85.254776,644.875854,-128.930786,-73.360596,573.642395,-10.91091,-65.838196,744.086426,-366.134735,73.776093,656.936462,-128.667068,113.859009,591.969727,-36.994446,128.126968,867.751709,-316.884094,-27.631561,805.405762,-56.706905,6.303267,732.322388,65.366661,23.110195,,,
6,0,415.788849,476.573456,-44.984692,547.028076,262.589081,-58.274853,626.642395,143.510513,-65.799927,470.616425,475.839355,106.649612,544.289124,263.723572,121.688278,621.961121,144.402054,132.86908,323.995819,439.729767,83.587364,410.530548,157.678055,39.858952,468.178253,59.673508,35.641655,727.860229,-356.337677,-85.2444,644.909668,-128.909698,-73.385033,573.675964,-10.912791,-65.846451,744.101074,-366.133667,73.760651,656.971802,-128.666336,113.821648,591.999329,-36.985107,128.095673,867.759583,-316.918518,-27.655813,805.453186,-56.724339,6.285026,732.356384,65.365639,23.080276,,,
7,0,415.752441,476.548828,-44.920418,547.005493,262.5737,-58.260883,626.595154,143.485794,-65.792007,470.577667,475.825104,106.652115,544.267273,263.71701,121.705559,621.932739,144.385483,132.883118,323.979034,439.72229,83.620865,410.511078,157.652267,39.876064,468.176178,59.674526,35.669067,727.835083,-356.335541,-85.234322,644.875977,-128.927734,-73.35714,573.661804,-10.911042,-65.838577,744.070984,-366.141327,73.78981,656.939514,-128.679138,113.848274,591.973267,-36.97588,128.113403,867.647705,-317.484924,-27.405415,805.413513,-56.715885,6.290635,732.325562,65.346321,23.086346,,,
8,0,415.769653,476.56488,-44.965565,547.028137,262.589966,-58.303108,626.605957,143.471924,-65.798607,470.60675,475.789337,106.624397,544.256897,263.694275,121.676079,621.853638,144.335342,132.899704,324.001068,439.717743,83.594452,410.713531,157.576126,39.953339,468.122437,59.693012,35.566719,727.988647,-356.482269,-85.309036,645.175537,-128.962296,-73.438171,573.71936,-10.95258,-65.822365,743.781677,-366.134003,73.858315,657.165344,-128.624634,113.785522,592.110718,-37.383247,128.184464,867.238159,-317.194061,-27.923128,805.485413,-56.739796,6.302639,732.760803,65.264603,22.986126,,,
